address	price	Bedrooms	Bath	Lot Size	Property Age	Gross Taxes for 2020	Area	Sub-Area/Community	Property Type	Title	Style																	
3206 1200 W Georgia Street	"$998,000"	2	2	Built in 1998 (22 yrs old)	"$3,078"	$606	Vancouver West	West End	Apt/Condo	Freehold Strata	Upper Unit																	
1103 1550 Alberni Street	"$3,298,000"	2	2	Built in 2021 (-1 yrs old)	$0	$0	Vancouver West	West End	Apt/Condo	Freehold Strata	1 Storey																	
501 1003 Pacific Street	"$1,029,900"	2	2	Built in 1998 (22 yrs old)	"$2,194"	$716	Vancouver West	West End	Apt/Condo	Freehold Strata	Corner Unit																	
1501 1009 Harwood Street	"$780,000"	1	1	Built in 2014 (6 yrs old)	"$2,042"	$346	Vancouver West	West End	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
203 1860 Robson Street	"$1,550,000"	3	2	Built in 1987 (33 yrs old)	"$3,923"	$837	Vancouver West	West End	Apt/Condo	Freehold Strata	Corner Unit																	
505 1009 Harwood Street	"$820,000"	1	1	Built in 2014 (6 yrs old)	"$2,206"	$387	Vancouver West	West End	Apt/Condo	Freehold Strata	"Corner Unit,End Unit"																	
2704 1200 Alberni Street	"$1,319,000"	3	2	Built in 1996 (24 yrs old)	"$3,637"	$710	Vancouver West	West End	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
2507 1723 Alberni Street	"$1,149,900"	2	2	Built in 1999 (21 yrs old)	"$3,277"	$571	Vancouver West	West End	Apt/Condo	Freehold Strata	1 Storey																	
1001 1005 Beach Avenue	"$828,000"	1	1	Built in 2004 (16 yrs old)	"$1,957"	$428	Vancouver West	West End	Apt/Condo	Freehold NonStrata	Upper Unit																	
2002 1020 Harwood Street	"$1,295,000"	2	2	Built in 1988 (32 yrs old)	"$3,613"	$649	Vancouver West	West End	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
1810 1060 Alberni Street	"$589,000"	1	1	Built in 1990 (30 yrs old)	"$1,511"	$451	Vancouver West	West End	Apt/Condo	Freehold Strata	Upper Unit																	
504 1949 Beach Avenue	"$1,359,000"	2	2	Built in 1950 (70 yrs old)	$0	$800	Vancouver West	West End	Apt/Condo	Shares in Co-operative	"Corner Unit,End Unit"																	
403 1436 Harwood Street	"$885,000"	2	2	Built in 1989 (31 yrs old)	"$2,229"	$459	Vancouver West	West End	Apt/Condo	Freehold Strata	Corner Unit																	
4802 1128 W Georgia Street	"$5,498,000"	2	3	Built in 2008 (12 yrs old)	"$22,932"	"$2,629"	Vancouver West	West End	Apt/Condo	Freehold Strata	1 Storey																	
909 1367 Alberni Street	"$495,000"	0	1	Built in 1999 (21 yrs old)	"$1,279"	$245	Vancouver West	West End	Apt/Condo	Freehold Strata	1 Storey																	
2001 1835 Morton Avenue	"$9,975,000"	2	3	Built in 1960 (60 yrs old)	$0	"$2,279"	Vancouver West	West End	Apt/Condo	Shares in Co-operative	Penthouse																	
3000 1050 Burrard Street	"$10,980,000"	5	8	Built in 1994 (26 yrs old)	"$39,930"	"$3,188"	Vancouver West	West End	Apt/Condo	Freehold Strata	Penthouse																	
1903 1835 Morton Avenue	"$1,650,000"	2	2	Built in 1959 (61 yrs old)	$0	"$1,000"	Vancouver West	West End	Apt/Condo	Shares in Co-operative	Inside Unit																	
310 1789 Davie Street	"$1,870,000"	2	3	Built in 1979 (41 yrs old)	"$5,589"	$629	Vancouver West	West End	Townhouse	Freehold Strata	"Corner Unit,Penthouse"																	
310 1789 Davie Street	"$1,870,000"	2	3	Built in 1979 (41 yrs old)	"$5,589"	$629	Vancouver West	West End	Townhouse	Freehold Strata	"Corner Unit,Penthouse"																	
3303 1199 Marinaside Crescent	"$1,429,000"	2	2	Built in 1999 (21 yrs old)	"$4,231"	$628	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
3601 583 Beach Crescent	"$4,588,000"	2	3	Built in 2005 (15 yrs old)	"$14,194"	"$1,066"	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Penthouse																	
1407 977 Mainland Street	"$655,000"	1	1	Built in 2007 (13 yrs old)	"$1,814"	$310	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Corner Unit																	
1407 977 Mainland Street	"$655,000"	1	1	Built in 2007 (13 yrs old)	"$1,814"	$310	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Corner Unit																	
Th 107 980 Cooperage Way	"$1,548,800"	2	3	Built in 2007 (13 yrs old)	"$4,108"	$845	Vancouver West	Yaletown	Townhouse	Freehold Strata	2 Storey																	
1402 909 Mainland Street	"$725,000"	1	1	Built in 2007 (13 yrs old)	"$1,881"	$403	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Corner Unit																	
3303 1199 Marinaside Crescent	"$1,429,000"	2	2	Built in 1999 (21 yrs old)	"$4,231"	$628	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
307 928 Beatty Street	"$655,000"	1	1	Built in 2005 (15 yrs old)	"$1,831"	$382	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Inside Unit																	
Sph9 1245 Homer Street	"$2,450,000"	2	3	Built in 2000 (20 yrs old)	"$6,732"	$518	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Corner Unit																	
1110 939 Homer Street	"$498,000"	1	1	Built in 1998 (22 yrs old)	"$1,296"	$262	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"Inside Unit,Upper Unit,Bachelor/Studio"																	
103 388 Drake Street	"$1,699,900"	2	2	Built in 1995 (25 yrs old)	"$4,521"	$800	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Ground Level Unit																	
586 87 Nelson Street	"$673,000"	1	1	Built in 2019 (1 yrs old)	"$1,951"	$284	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Inside Unit																	
1401 928 Richards Street	"$698,000"	1	1	Built in 2000 (20 yrs old)	"$1,776"	$344	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
1505 907 Beach Avenue	"$899,000"	2	2	Built in 1993 (27 yrs old)	"$2,145"	$406	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Upper Unit																	
5505 1480 Howe Street	"$2,998,000"	2	3	Built in 2020 (0 yrs old)	"$7,472"	"$1,430"	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"1 Storey,Upper Unit"																	
1105 1055 Homer Street	"$1,148,000"	2	2	Built in 2003 (17 yrs old)	"$2,914"	$455	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Corner Unit																	
507 638 Beach Crescent	"$1,290,000"	2	2	Built in 2006 (14 yrs old)	"$3,651"	$684	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Corner Unit																	
1702 1560 Homer Mews	"$6,450,000"	3	3	Built in 2010 (10 yrs old)	"$18,800"	"$2,420"	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
3201 1480 Howe Street	"$2,588,000"	2	2	Built in 2020 (0 yrs old)	"$6,826"	"$1,342"	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
1901 1280 Richards Street	"$2,690,000"	2	3	Built in 2008 (12 yrs old)	"$7,358"	$0	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
504 1501 Howe Street	"$1,298,000"	2	2	Built in 1993 (27 yrs old)	"$3,435"	$700	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
805 1600 Hornby Street	"$4,250,000"	2	3	Built in 1995 (25 yrs old)	"$7,253"	"$1,272"	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Corner Unit																	
3303 1199 Marinaside Crescent	"$1,429,000"	2	2	Built in 1999 (21 yrs old)	"$4,231"	$628	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
5505 1480 Howe Street	"$2,998,000"	2	3	Built in 2020 (0 yrs old)	"$7,472"	"$1,430"	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"1 Storey,Upper Unit"																	
1611 89 Nelson Street	"$749,999"	1	1	Built in 2019 (1 yrs old)	"$2,124"	$261	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Upper Unit																	
2210 1480 Howe Street	"$699,000"	1	1	Built in 2020 (0 yrs old)	"$1,954"	$385	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	1 Storey																	
305 1006 Beach Avenue	"$849,000"	2	2	Built in 1991 (29 yrs old)	"$2,352"	$510	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"Corner Unit,Inside Unit"																	
809 1500 Howe Street	"$999,000"	2	2	Built in 1989 (31 yrs old)	"$2,115"	$607	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Corner Unit																	
1002 1000 Beach Avenue	"$1,228,000"	2	2	Built in 1991 (29 yrs old)	"$3,262"	$632	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"1 Storey,Upper Unit"																	
2418 89 Nelson Street	"$2,988,000"	3	3	Built in 2019 (1 yrs old)	"$7,174"	$721	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Corner Unit																	
1601 289 Drake Street	"$1,198,000"	2	2	Built in 1993 (27 yrs old)	"$3,384"	$539	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"Corner Unit,End Unit,Upper Unit"																	
407 928 Homer Street	"$599,900"	1	1	Built in 2006 (14 yrs old)	"$1,498"	$232	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Inside Unit																	
201 1000 Beach Avenue	"$889,900"	1	2	Built in 1992 (28 yrs old)	"$2,276"	$580	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	1 Storey																	
1304 909 Mainland Street	"$729,000"	1	1	Built in 2007 (13 yrs old)	"$1,782"	$357	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
717 1088 Richards Street	"$719,900"	2	1	Built in 2011 (9 yrs old)	"$2,226"	$270	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	1 Storey																	
1102 1495 Richards Street	"$1,688,000"	2	2	Built in 2004 (16 yrs old)	"$4,286"	$689	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	1 Storey																	
4903 1480 Howe Street	"$4,900,000"	3	3	Built in 2020 (0 yrs old)	"$9,811"	"$1,926"	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
309 988 Richards Street	"$725,000"	1	1	Built in 2006 (14 yrs old)	"$1,951"	$439	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Inside Unit																	
3110 1480 Howe Street	"$718,000"	0	1	Built in 2020 (0 yrs old)	"$1,615"	$0	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Upper Unit																	
5601 1480 Howe Street	"$6,988,900"	3	4	Built in 2020 (0 yrs old)	"$26,868"	"$2,753"	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
5601 1480 Howe Street	"$6,988,900"	3	4	Built in 2020 (0 yrs old)	"$26,868"	"$2,753"	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
5203 1480 Howe Street	"$5,388,900"	3	3	Built in 2020 (0 yrs old)	$0	"$2,169"	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
507 1495 Richards Street	"$749,000"	1	1	Built in 2004 (16 yrs old)	"$1,869"	$338	Vancouver West	Yaletown	Apt/Condo	Freehold Strata	Inside Unit																	
333 3364 Marquette Crescent	"$499,000"	2	2	Built in 1983 (37 yrs old)	"$1,205"	$359	Vancouver East	Champlain Heights	Apt/Condo	Leasehold prepaid-Strata	"Corner Unit,Upper Unit"																	
3410 Amberly Place	"$685,000"	2	3	Built in 1992 (28 yrs old)	"$1,673"	$365	Vancouver East	Champlain Heights	Townhouse	Leasehold prepaid-Strata	"3 Storey,End Unit"																	
3378 Marquette Crescent	"$599,888"	3	3	Built in 1982 (38 yrs old)	"$1,548"	$484	Vancouver East	Champlain Heights	Townhouse	Leasehold prepaid-Strata	Corner Unit																	
4 3582 SE Marine Drive	"$695,000"	3	2	Built in 1994 (26 yrs old)	"$1,606"	$467	Vancouver East	Champlain Heights	Townhouse	Leasehold prepaid-Strata	3 Storey																	
202 7089 Mont Royal Square	"$599,000"	2	2	Built in 2004 (16 yrs old)	"$1,729"	$313	Vancouver East	Champlain Heights	Apt/Condo	Freehold Strata	1 Storey																	
3206 E 54th Avenue	"$987,000"	3	3	Built in 2004 (16 yrs old)	"$2,493"	$389	Vancouver East	Champlain Heights	Townhouse	Freehold Strata	2 Storey																	
3406 Copeland Avenue	"$528,800"	2	2	Built in 1980 (40 yrs old)	"$1,469"	$329	Vancouver East	Champlain Heights	Townhouse	Leasehold prepaid-Strata	"2 Storey,Ground Level Unit"																	
3290 E 54th Avenue	"$685,000"	2	2	Built in 2006 (14 yrs old)	"$1,726"	$249	Vancouver East	Champlain Heights	Townhouse	Freehold Strata	"Carriage/Coach House,Ground Level Unit"																	
4448 Nanaimo Street	"$1,559,000"	5	3	33 ft x 113 ft (3808 ft²)	Built in 1985 (35 yrs old)	"$5,129"	Vancouver East	Collingwood	House	Freehold NonStrata	"2 Storey,Basement Entry"																	
110 3520 Crowley Drive	"$523,500"	1	1	Built in 2001 (19 yrs old)	"$1,358"	$365	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	"1 Storey,Ground Level Unit"																	
1701 5665 Boundary Road	"$449,000"	1	1	Built in 2016 (4 yrs old)	"$1,285"	$220	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	Upper Unit																	
2552 E 29th Avenue	"$1,399,900"	3	4	6093 ft²	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Collingwood	House	Freehold Strata																	
4525 Clarendon Street	"$999,900"	2	2	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Collingwood	Townhouse	Freehold Strata	2 Storey																	
2549 E 27th Avenue	"$1,998,000"	10	8	33 ft x 108 ft (3564 ft²)	Built in 2018 (2 yrs old)	"$5,482"	Vancouver East	Collingwood	House	Freehold NonStrata	"2 Storey w/Bsmt.,Laneway House"																	
2487 E 37th Avenue	"$920,000"	2	2	Built in 2017 (3 yrs old)	"$2,241"	$0	Vancouver East	Collingwood	Townhouse	Freehold Strata	2 Storey																	
2477 St. Lawrence Street	"$3,498,000"	14	10	40 ft x 175 ft (6985 ft²)	Built in 2016 (4 yrs old)	"$7,675"	Vancouver East	Collingwood	Multifamily	Freehold NonStrata	175																	
4448 Nanaimo Street	"$1,559,000"	5	3	33 ft x 113 ft (3808 ft²)	Built in 1985 (35 yrs old)	"$5,129"	Vancouver East	Collingwood	House	Freehold NonStrata	"2 Storey,Basement Entry"																	
5210 Hoy Street	"$1,188,000"	3	3	32 ft x 115 ft (3785 ft²)	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Collingwood	Duplex	Freehold Strata																	
5675 Rupert Street	"$3,000,000"	8	4	53 ft x 110 ft (5868 ft²)	Built in 1957 (63 yrs old)	"$5,022"	Vancouver East	Collingwood	House	Freehold NonStrata	"2 Storey,Laneway House"																	
Ph3 4815 Eldorado Mews	"$1,099,000"	2	2	Built in 2013 (7 yrs old)	"$2,976"	$633	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	"1 Storey,Penthouse"																	
5031 Chambers Street	"$839,000"	3	2	Built in 2019 (1 yrs old)	"$2,183"	$346	Vancouver East	Collingwood	Townhouse	Freehold Strata	"End Unit,Upper Unit"																	
123 4858 Slocan Street	"$868,000"	3	2	Built in 2019 (1 yrs old)	"$2,349"	$324	Vancouver East	Collingwood	Townhouse	Freehold Strata	"1 Storey,Ground Level Unit"																	
203 4882 Slocan Street	"$830,000"	3	2	Built in 2019 (1 yrs old)	$0	$309	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	1 Storey																	
1110 5189 Gaston Street	"$579,900"	2	2	Built in 1996 (24 yrs old)	"$1,460"	$374	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	Corner Unit																	
506 3438 Vanness Avenue	"$499,900"	1	1	Built in 1999 (21 yrs old)	"$1,185"	$399	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	Corner Unit																	
1509 5288 Melbourne Street	"$568,800"	2	1	Built in 1998 (22 yrs old)	"$1,428"	$322	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	Corner Unit																	
2604 5515 Boundary Road	"$599,000"	1	1	Built in 2017 (3 yrs old)	"$1,683"	$270	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	Corner Unit																	
5216 Rupert Street	"$1,850,000"	8	4	44 ft x 120 ft (5280 ft²)	Built in 1959 (61 yrs old)	"$4,801"	Vancouver East	Collingwood	House	Freehold NonStrata	"2 Storey,Laneway House"																	
2443 E 40th Avenue	"$1,720,000"	5	5	7000 ft²	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Collingwood	Duplex	Freehold Strata																	
309 5058 Joyce Street	"$899,800"	3	2	Built in 2021 (-1 yrs old)	$0	$442	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
2445 E 40th Avenue	"$1,669,000"	5	4	7000 ft²	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Collingwood	Duplex	Freehold Strata																	
4539 Hoy Street	"$1,489,000"	7	3	4645 ft²	Built in 1912 (108 yrs old)	"$5,241"	Vancouver East	Collingwood	House	Freehold NonStrata	2 Storey w/Bsmt.																	
5655 Earles Street	"$1,339,000"	5	4	0 ft x 0 ft (0 ft²)	Built in 2020 (0 yrs old)	$0	Vancouver East	Collingwood	Duplex	Freehold NonStrata	2 Storey w/Bsmt.																	
1606 3588 Crowley Drive	"$489,000"	1	1	Built in 2003 (17 yrs old)	"$1,413"	$229	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	Upper Unit																	
5653 Earles Street	"$1,249,000"	4	4	0 ft x 0 ft (0 ft²)	Built in 2020 (0 yrs old)	$0	Vancouver East	Collingwood	Duplex	Freehold NonStrata	2 Storey w/Bsmt.																	
5178 Chambers Street	"$659,000"	2	2	Built in 2017 (3 yrs old)	"$1,226"	$327	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	Ground Level Unit																	
1405 3438 Vanness Avenue	"$593,800"	2	2	Built in 1999 (21 yrs old)	"$1,659"	$603	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	"1 Storey,Upper Unit"																	
5237 Clarendon Street	"$1,398,000"	4	4	0 ft²	Built in 2017 (3 yrs old)	"$3,341"	$0	Vancouver East	Collingwood	Duplex	Freehold Strata																	
309 5058 Joyce Street	"$899,800"	3	2	Built in 2021 (-1 yrs old)	$0	$442	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
2743 Duke Street	"$848,000"	3	2	0 ft²	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Collingwood	Duplex	Freehold Strata																	
2745 Duke Street	"$959,000"	3	2	0 ft²	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Collingwood	Duplex	Freehold Strata																	
5645 Rupert Street	"$1,580,000"	6	2	33 ft x 125 ft (4153 ft²)	Built in 1954 (66 yrs old)	"$5,035"	Vancouver East	Collingwood	House	Freehold NonStrata	2 Storey																	
908 3438 Vanness Avenue	"$428,000"	1	1	Built in 1999 (21 yrs old)	"$1,083"	$350	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
4987 Hoy Street	"$1,399,000"	7	2	33 ft x 115 ft (3803 ft²)	Built in 1964 (56 yrs old)	"$5,195"	Vancouver East	Collingwood	House	Freehold NonStrata	2 Storey																	
1408 5058 Joyce Street	"$675,000"	1	1	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	Inside Unit																	
1409 5058 Joyce Street	"$788,000"	2	1	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	Corner Unit																	
1206 5058 Joyce Street	"$919,000"	2	2	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Collingwood	Apt/Condo	Freehold Strata	Corner Unit																	
5649 Rupert Street	"$1,580,000"	5	3	33 ft x 125 ft (4153 ft²)	Built in 1956 (64 yrs old)	"$5,087"	Vancouver East	Collingwood	House	Freehold NonStrata	2 Storey																	
606 150 E Cordova Street	"$419,900"	1	1	Built in 2016 (4 yrs old)	"$1,235"	$263	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Upper Unit																	
273 Columbia Street	"$1,548,800"	1	2	Built in 2006 (14 yrs old)	"$3,726"	$633	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	"2 Storey,Live/Work Studio"																	
405 55 E Cordova Street	"$849,000"	0	1	Built in 2006 (14 yrs old)	"$2,994"	$385	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Loft/Warehouse Conv.																	
273 Columbia Street	"$1,548,800"	1	2	Built in 2006 (14 yrs old)	"$3,726"	$633	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	"2 Storey,Live/Work Studio"																	
509 27 Alexander Street	"$575,000"	1	1	Built in 1997 (23 yrs old)	"$1,767"	$360	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Live/Work Studio																	
407 55 E Cordova Street	"$1,398,000"	1	2	Built in 2006 (14 yrs old)	"$3,201"	$525	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	"Live/Work Studio,Loft/Warehouse Conv."																	
305 1128 Quebec Street	"$1,149,900"	3	2	Built in 1995 (25 yrs old)	"$3,224"	$745	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	1 Storey																	
203 189 National Avenue	"$1,198,000"	2	2	Built in 2005 (15 yrs old)	"$3,100"	$603	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Inside Unit																	
2304 1188 Quebec Street	"$1,115,000"	2	2	Built in 1992 (28 yrs old)	"$2,735"	$486	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Upper Unit																	
1505 1128 Quebec Street	"$1,425,000"	3	2	Built in 1994 (26 yrs old)	"$4,172"	$800	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
B 16 E Cordova Street	"$949,000"	1	1	Built in 1997 (23 yrs old)	"$2,139"	$592	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	"Loft/Warehouse Conv.,Penthouse"																	
201 138 E Hastings Street	"$449,900"	1	1	Built in 2015 (5 yrs old)	"$1,340"	$321	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Inside Unit																	
905 168 Powell Street	"$539,900"	1	1	Built in 2009 (11 yrs old)	"$1,650"	$497	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	"End Unit,Upper Unit"																	
A 16 E Cordova Street	"$879,000"	4	1	Built in 1997 (23 yrs old)	"$2,844"	$788	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	"Loft/Warehouse Conv.,Penthouse"																	
908 150 E Cordova Street	"$425,000"	1	1	Built in 2016 (4 yrs old)	"$1,281"	$269	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	1 Storey																	
201 189 Keefer Street	"$498,000"	1	1	Built in 2015 (5 yrs old)	"$1,410"	$316	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Inside Unit																	
802 150 E Cordova Street	"$675,000"	2	2	Built in 2016 (4 yrs old)	"$1,719"	$389	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	1 Storey																	
905 1159 Main Street	"$1,060,000"	3	2	Built in 1992 (28 yrs old)	"$2,463"	$591	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	1 Storey																	
203 55 E Cordova Street	"$1,048,000"	2	1	Built in 2006 (14 yrs old)	"$2,705"	$502	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	"Live/Work Studio,Loft/Warehouse Conv."																	
203 1188 Quebec Street	"$1,650,000"	3	2	Built in 1992 (28 yrs old)	"$3,698"	$768	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Corner Unit																	
607 150 E Cordova Street	"$405,000"	1	1	Built in 2016 (4 yrs old)	"$1,235"	$263	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Other																	
204 138 E Hastings Street	"$363,900"	1	1	Built in 2015 (5 yrs old)	"$1,056"	$209	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Inside Unit																	
2203 1188 Quebec Street	"$1,368,000"	3	2	Built in 1992 (28 yrs old)	"$3,628"	$642	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Upper Unit																	
137 Alexander Street	"$1,199,900"	2	2	Built in 1995 (25 yrs old)	"$3,192"	$431	Vancouver East	Downtown East	Townhouse	Freehold Strata	"5 Plus Level,Loft/Warehouse Conv."																	
315 55 E Cordova Street	"$830,000"	1	1	Built in 2006 (14 yrs old)	"$2,009"	$385	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	"Loft/Warehouse Conv.,Upper Unit"																	
1801 120 Milross Avenue	"$1,099,000"	2	2	Built in 2004 (16 yrs old)	"$2,917"	$576	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	"1 Storey,Upper Unit"																	
703 168 Powell Street	"$488,800"	1	1	Built in 2009 (11 yrs old)	"$1,393"	$363	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Upper Unit																	
302 1 E Cordova Street	"$554,900"	1	1	Built in 1997 (23 yrs old)	"$1,398"	$333	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	2 Storey																	
2303 1088 Quebec Street	"$1,186,000"	2	2	Built in 1997 (23 yrs old)	"$2,761"	$544	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	1 Storey																	
902 189 National Avenue	"$799,000"	2	1	Built in 2005 (15 yrs old)	"$2,022"	$468	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
2104 1088 Quebec Street	"$1,548,000"	2	2	Built in 1997 (23 yrs old)	"$3,775"	$598	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Corner Unit																	
1304 1159 Main Street	"$999,990"	3	2	Built in 1992 (28 yrs old)	"$3,075"	$621	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Upper Unit																	
407 1159 Main Street	"$800,000"	2	2	Built in 1992 (28 yrs old)	"$1,259"	$513	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Corner Unit																	
1510 188 Keefer Street	"$508,000"	1	1	Built in 2016 (4 yrs old)	"$1,340"	$280	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	1 Storey																	
602 1188 Quebec Street	"$1,370,000"	2	2	Built in 1992 (28 yrs old)	"$2,899"	$583	Vancouver East	Downtown East	Apt/Condo	Freehold Strata	Inside Unit																	
5239 Chester Street	"$1,499,000"	5	1	33 ft x 110 ft (3630 ft²)	Built in 1912 (108 yrs old)	"$5,107"	Vancouver East	Fraser East	House	Freehold NonStrata	"2 Storey,Rancher/Bungalow w/Bsmt."																	
4435 Fraser Street	"$1,900,000"	3	2	33 ft x 113 ft (3729 ft²)	Built in 1947 (73 yrs old)	"$5,356"	Vancouver East	Fraser East	House	Freehold NonStrata	2 Storey																	
448 E 45th Avenue	"$1,968,000"	7	4	33 ft x 122 ft (4026 ft²)	Built in 2007 (13 yrs old)	"$6,231"	Vancouver East	Fraser East	House	Freehold NonStrata	2 Storey																	
4505 Harriet Street	"$1,849,999"	5	3	40 ft x 96 ft (3847 ft²)	Built in 1961 (59 yrs old)	"$5,753"	Vancouver East	Fraser East	House	Freehold NonStrata	"2 Storey,Split Entry"																	
