address,price,bedrooms,bath,lot_size,property_age,gross_tax_for_2020,area,Sub-Area/Community,Property_Type,title,style,heating_type,Depth,frontage,,,,,,,,,,,,,,
7120 Maple Street,"$5,988,000",7,7,7300 ft²,Built in 2019 (1 yrs old),"$16,949",Vancouver West,Southwest Marine,House,Freehold NonStrata,2 Storey w/Bsmt.,52.35 feet,R2491693,Karen Zhao PREC*,,,,,,,,,,,,,,
2606-2610 Marine Crescent,"$12,880,000",4,7,196 ft x 183 ft (35869 ft²),Built in 1928 (92 yrs old),"$31,237",Vancouver West,Southwest Marine,House,Freehold NonStrata,2 Storey w/Bsmt.,183,196.20 feet,R2486033,,,,,,,,,,,,,,
1901 8555 Granville Street,"$1,198,000",2,2,Built in 2014 (6 yrs old),"$2,562",$542,Vancouver West,Southwest Marine,Apt/Condo,Freehold Strata,Inside Unit,R2434165,Henry Wu PREC*,LeHomes Realty Premier,,,,,,,,,,,,,,
911 8488 Cornish Street,"$919,900",2,2,Built in 2014 (6 yrs old),"$2,537",$417,Vancouver West,Southwest Marine,Apt/Condo,Freehold Strata,Corner Unit,R2523812,Jack Cao PREC*,Interlink Realty,,,,,,,,,,,,,,
706 8488 Cornish Street,"$590,000",1,1,Built in 2014 (6 yrs old),"$1,580",$280,Vancouver West,Southwest Marine,Apt/Condo,Freehold Strata,1 Storey,R2522811,Peter Su PREC*,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
1958 W 60th Avenue,"$2,990,000",4,2,50 ft x 157 ft (7850 ft²),Built in 1953 (67 yrs old),"$8,935",Vancouver West,Southwest Marine,House,Freehold NonStrata,2 Storey,157,50.00 feet,R2521210,,,,,,,,,,,,,,
1584 W 66th Avenue,"$2,099,000",5,3,33 ft x 120 ft (3987 ft²),Built in 1930 (90 yrs old),"$6,688",Vancouver West,Southwest Marine,House,Freehold NonStrata,2 Storey w/Bsmt.,120.8,33.00 feet,R2518439,,,,,,,,,,,,,,
1803 8555 Granville Street,"$609,000",1,1,Built in 2014 (6 yrs old),"$1,618",$357,Vancouver West,Southwest Marine,Apt/Condo,Freehold Strata,Inside Unit,R2517852,Hanson Wang PREC*,Ohmproperty,,,,,,,,,,,,,,
705 8588 Cornish Street,"$788,800",2,2,Built in 2014 (6 yrs old),"$2,262",$497,Vancouver West,Southwest Marine,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2516477,Glen Hao PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
6989 Arbutus Diversion,"$3,880,000",5,5,0 ft x 0 ft (11014 ft²),Built in 1992 (28 yrs old),"$9,971",Vancouver West,Southwest Marine,House,Freehold NonStrata,2 Storey,0,0.00 feet,R2514899,,,,,,,,,,,,,,
6664 Balsam Street,"$1,880,000",2,1,34 ft x 100 ft (1 ft²),Built in 1925 (95 yrs old),"$6,510",Vancouver West,Southwest Marine,House,Freehold NonStrata,2 Storey w/Bsmt.,100,34.50 feet,R2513040,,,,,,,,,,,,,,
1518 W 68th Avenue,"$2,450,000",4,4,33 ft x 111 ft (3675 ft²),Built in 1997 (23 yrs old),"$6,471",Vancouver West,Southwest Marine,House,Freehold NonStrata,2 Storey w/Bsmt.,111.35,33.00 feet,R2511421,,,,,,,,,,,,,,
8295 Angus Drive,"$3,280,000",3,3,0 ft x 10030 ft (1 ft²),Built in 1950 (70 yrs old),"$9,402",Vancouver West,Southwest Marine,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,10030,0.00 feet,R2508148,,,,,,,,,,,,,,
310 1503 W 66th Avenue,"$389,900",1,1,Built in 1998 (22 yrs old),"$1,040",$193,Vancouver West,Southwest Marine,Apt/Condo,Freehold Strata,Upper Unit,R2506932,Dawar Zada PREC*,RE/MAX All Points Realty,,,,,,,,,,,,,,
6650 Vine Street,"$2,748,000",3,3,34 ft x 99 ft (3453 ft²),Built in 1978 (42 yrs old),"$6,959",Vancouver West,Southwest Marine,House,Freehold NonStrata,2 Storey,99.8,34.60 feet,R2523214,,,,,,,,,,,,,,
6505 Yew Street,"$2,776,800",5,3,44 ft x 120 ft (5280 ft²),Built in 1976 (44 yrs old),"$7,204",Vancouver West,Southwest Marine,House,Freehold NonStrata,2 Storey,120,44.00 feet,R2504078,,,,,,,,,,,,,,
1702 8588 Cornish Street,"$1,590,000",3,2,Built in 2014 (6 yrs old),"$4,020",$745,Vancouver West,Southwest Marine,Apt/Condo,Freehold Strata,1 Storey,R2500833,Eric Kong,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
1722 W 68th Avenue,"$2,738,000",6,2,50 ft x 120 ft (6000 ft²),Built in 1951 (69 yrs old),"$8,254",Vancouver West,Southwest Marine,House,Freehold NonStrata,2 Storey,120,50.00 feet,R2493520,,,,,,,,,,,,,,
1925 SW Marine Drive,"$9,980,000",5,8,100 ft x 180 ft (18000 ft²),Built in 2014 (6 yrs old),"$44,943",Vancouver West,Southwest Marine,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,180,100.00 feet,,,,,,,,,,,,,,
2102 8555 Granville Street,"$1,388,000",2,2,Built in 2014 (6 yrs old),"$3,286",$707,Vancouver West,Southwest Marine,Apt/Condo,Freehold Strata,Corner Unit,R2484734,Edgar Sung,Sutton Group - Vancouver First Realty,,,,,,,,,,,,,,
2106 8555 Granville Street,"$1,090,000",2,2,Built in 2014 (6 yrs old),"$3,218",$685,Vancouver West,Southwest Marine,Apt/Condo,Freehold Strata,1 Storey,R2483449,Esther He PREC*,Sutton Group Seafair Realty,,,,,,,,,,,,,,
1005 8555 Granville Street,"$1,098,000",2,2,Built in 2014 (6 yrs old),"$3,174",$744,Vancouver West,Southwest Marine,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2475436,Lilian Li PREC*,Pacific Evergreen Realty Ltd.,,,,,,,,,,,,,,
501 8488 Cornish Street,"$1,259,900",3,2,Built in 2014 (6 yrs old),"$2,646",$461,Vancouver West,Southwest Marine,Apt/Condo,Freehold Strata,1 Storey,R2469927,Darya Pfund,Stratten Gates Real Estate Ltd.,,,,,,,,,,,,,,
2077 W 61st Avenue,"$8,880,000",4,7,50 ft x 157 ft (7850 ft²),Built in 2020 (0 yrs old),"$13,286",Vancouver West,Southwest Marine,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,157,50.00 feet,,,,,,,,,,,,,,
6812 Arbutus Street,"$6,980,000",4,4,95 ft x 231 ft (21945 ft²),Built in 1941 (79 yrs old),"$18,626",Vancouver West,Southwest Marine,House,Freehold NonStrata,2 Storey w/Bsmt.,231,95.00 feet,R2523502,,,,,,,,,,,,,,
1563 W 66th Avenue,"$2,200,000",5,3,33 ft x 122 ft (4026 ft²),Built in 1927 (93 yrs old),"$6,546",Vancouver West,Southwest Marine,House,Freehold NonStrata,"2 Storey,Basement Entry",122,33.00 feet,R2439946,,,,,,,,,,,,,,
501 1003 Pacific Street,"$1,029,900",2,2,Built in 1998 (22 yrs old),"$2,194",$716,Vancouver West,West End,Apt/Condo,Freehold Strata,Corner Unit,R2521998,Navid Hakimi PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
3206 1200 W Georgia Street,"$998,000",2,2,Built in 1998 (22 yrs old),"$3,078",$606,Vancouver West,West End,Apt/Condo,Freehold Strata,Upper Unit,R2524406,Patrick Weeks PREC*,RE/MAX Select Properties,,,,,,,,,,,,,,
1103 1550 Alberni Street,"$3,298,000",2,2,Built in 2021 (-1 yrs old),$0,$0,Vancouver West,West End,Apt/Condo,Freehold Strata,1 Storey,R2522289,Glenn Dennis PREC*,RE/MAX Select Properties,,,,,,,,,,,,,,
501 1003 Pacific Street,"$1,029,900",2,2,Built in 1998 (22 yrs old),"$2,194",$716,Vancouver West,West End,Apt/Condo,Freehold Strata,Corner Unit,R2521998,Navid Hakimi PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
1501 1009 Harwood Street,"$780,000",1,1,Built in 2014 (6 yrs old),"$2,042",$346,Vancouver West,West End,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2521615,Mary Cleaver,RE/MAX Select Realty,,,,,,,,,,,,,,
203 1860 Robson Street,"$1,550,000",3,2,Built in 1987 (33 yrs old),"$3,923",$837,Vancouver West,West End,Apt/Condo,Freehold Strata,Corner Unit,R2521296,Tracey Blackham,Engel & Volkers Vancouver,,,,,,,,,,,,,,
505 1009 Harwood Street,"$820,000",1,1,Built in 2014 (6 yrs old),"$2,206",$387,Vancouver West,West End,Apt/Condo,Freehold Strata,"Corner Unit,End Unit",R2521063,Frederick Trudeau,TRG The Residential Group Realty,,,,,,,,,,,,,,
2704 1200 Alberni Street,"$1,319,000",3,2,Built in 1996 (24 yrs old),"$3,637",$710,Vancouver West,West End,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2519364,Les Twarog,RE/MAX Crest Realty,,,,,,,,,,,,,,
2507 1723 Alberni Street,"$1,149,900",2,2,Built in 1999 (21 yrs old),"$3,277",$571,Vancouver West,West End,Apt/Condo,Freehold Strata,1 Storey,R2517687,Adam Scalena PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
1001 1005 Beach Avenue,"$828,000",1,1,Built in 2004 (16 yrs old),"$1,957",$428,Vancouver West,West End,Apt/Condo,Freehold NonStrata,Upper Unit,R2517178,Angela Huo,RE/MAX Westcoast,,,,,,,,,,,,,,
2002 1020 Harwood Street,"$1,295,000",2,2,Built in 1988 (32 yrs old),"$3,613",$649,Vancouver West,West End,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2516909,Matt Kerr PREC*,Stilhavn Real Estate Services,,,,,,,,,,,,,,
1810 1060 Alberni Street,"$589,000",1,1,Built in 1990 (30 yrs old),"$1,511",$451,Vancouver West,West End,Apt/Condo,Freehold Strata,Upper Unit,R2515256,Tony Yuen PREC*,Jovi Realty Inc.,,,,,,,,,,,,,,
504 1949 Beach Avenue,"$1,359,000",2,2,Built in 1950 (70 yrs old),$0,$800,Vancouver West,West End,Apt/Condo,Shares in Co-operative,"Corner Unit,End Unit",R2515064,Austin Kay,RE/MAX Austin Kay Realty,,,,,,,,,,,,,,
403 1436 Harwood Street,"$885,000",2,2,Built in 1989 (31 yrs old),"$2,229",$459,Vancouver West,West End,Apt/Condo,Freehold Strata,Corner Unit,R2514353,David Corrie,RE/MAX Little Oak Realty (Abbotsford),,,,,,,,,,,,,,
4802 1128 W Georgia Street,"$5,498,000",2,3,Built in 2008 (12 yrs old),"$22,932","$2,629",Vancouver West,West End,Apt/Condo,Freehold Strata,1 Storey,R2514774,Haneef Virani PREC*,Virani Real Estate Advisors,,,,,,,,,,,,,,
909 1367 Alberni Street,"$495,000",0,1,Built in 1999 (21 yrs old),"$1,279",$245,Vancouver West,West End,Apt/Condo,Freehold Strata,1 Storey,R2513719,Ken Cui PREC*,Nu Stream Realty Inc.,,,,,,,,,,,,,,
2001 1835 Morton Avenue,"$9,975,000",2,3,Built in 1960 (60 yrs old),$0,"$2,279",Vancouver West,West End,Apt/Condo,Shares in Co-operative,Penthouse,R2511955,Malcolm Hasman,"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.",,,,,,,,,,,,,,
3000 1050 Burrard Street,"$10,980,000",5,8,Built in 1994 (26 yrs old),"$39,930","$3,188",Vancouver West,West End,Apt/Condo,Freehold Strata,Penthouse,R2511937,Malcolm Hasman,"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.",,,,,,,,,,,,,,
1903 1835 Morton Avenue,"$1,650,000",2,2,Built in 1959 (61 yrs old),$0,"$1,000",Vancouver West,West End,Apt/Condo,Shares in Co-operative,Inside Unit,R2511620,Kelsie Struch PREC*,Stilhavn Real Estate Services,,,,,,,,,,,,,,
310 1789 Davie Street,"$1,870,000",2,3,Built in 1979 (41 yrs old),"$5,589",$629,Vancouver West,West End,Townhouse,Freehold Strata,"Corner Unit,Penthouse",R2511196,Diana Klejne PREC*,Stonehaus Realty Corp.,,,,,,,,,,,,,,
310 1789 Davie Street,"$1,870,000",2,3,Built in 1979 (41 yrs old),"$5,589",$629,Vancouver West,West End,Townhouse,Freehold Strata,"Corner Unit,Penthouse",R2511196,Diana Klejne PREC*,Stonehaus Realty Corp.,,,,,,,,,,,,,,
3303 1199 Marinaside Crescent,"$1,429,000",2,2,Built in 1999 (21 yrs old),"$4,231",$628,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2523424,Jackie Chan,Dexter Realty,,,,,,,,,,,,,,
3601 583 Beach Crescent,"$4,588,000",2,3,Built in 2005 (15 yrs old),"$14,194","$1,066",Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Penthouse,R2475043,Haneef Virani PREC*,Virani Real Estate Advisors,,,,,,,,,,,,,,
1407 977 Mainland Street,"$655,000",1,1,Built in 2007 (13 yrs old),"$1,814",$310,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Corner Unit,R2524539,Thomas Chung,Macdonald Realty Westmar,,,,,,,,,,,,,,
1407 977 Mainland Street,"$655,000",1,1,Built in 2007 (13 yrs old),"$1,814",$310,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Corner Unit,R2524539,Thomas Chung,Macdonald Realty Westmar,,,,,,,,,,,,,,
Th 107 980 Cooperage Way,"$1,548,800",2,3,Built in 2007 (13 yrs old),"$4,108",$845,Vancouver West,Yaletown,Townhouse,Freehold Strata,2 Storey,R2523666,Iman Moghadam PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
1402 909 Mainland Street,"$725,000",1,1,Built in 2007 (13 yrs old),"$1,881",$403,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Corner Unit,R2523453,Robin Bardon PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
3303 1199 Marinaside Crescent,"$1,429,000",2,2,Built in 1999 (21 yrs old),"$4,231",$628,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2523424,Jackie Chan,Dexter Realty,,,,,,,,,,,,,,
307 928 Beatty Street,"$655,000",1,1,Built in 2005 (15 yrs old),"$1,831",$382,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Inside Unit,R2522188,Mel Montgomery PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
Sph9 1245 Homer Street,"$2,450,000",2,3,Built in 2000 (20 yrs old),"$6,732",$518,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Corner Unit,R2521241,Iman Moghadam PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
1110 939 Homer Street,"$498,000",1,1,Built in 1998 (22 yrs old),"$1,296",$262,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"Inside Unit,Upper Unit,Bachelor/Studio",R2520991,Holly Wood,Sotheby's International Realty Canada,,,,,,,,,,,,,,
103 388 Drake Street,"$1,699,900",2,2,Built in 1995 (25 yrs old),"$4,521",$800,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Ground Level Unit,R2519571,Ken Leong PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
586 87 Nelson Street,"$673,000",1,1,Built in 2019 (1 yrs old),"$1,951",$284,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Inside Unit,R2518646,Alfie Yang PREC*,eXp Realty,,,,,,,,,,,,,,
1401 928 Richards Street,"$698,000",1,1,Built in 2000 (20 yrs old),"$1,776",$344,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2518576,Marco Dehghani PREC*,Engel & Volkers Vancouver,,,,,,,,,,,,,,
1505 907 Beach Avenue,"$899,000",2,2,Built in 1993 (27 yrs old),"$2,145",$406,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Upper Unit,R2518530,Iman Moghadam PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
5505 1480 Howe Street,"$2,998,000",2,3,Built in 2020 (0 yrs old),"$7,472","$1,430",Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"1 Storey,Upper Unit",R2518416,Andreas Nystrom,RE/MAX Crest Realty,,,,,,,,,,,,,,
1105 1055 Homer Street,"$1,148,000",2,2,Built in 2003 (17 yrs old),"$2,914",$455,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Corner Unit,R2517909,Iman Moghadam PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
507 638 Beach Crescent,"$1,290,000",2,2,Built in 2006 (14 yrs old),"$3,651",$684,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Corner Unit,R2517806,Samson Danniels,Rennie & Associates Realty Ltd.,,,,,,,,,,,,,,
1702 1560 Homer Mews,"$6,450,000",3,3,Built in 2010 (10 yrs old),"$18,800","$2,420",Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2517869,D.J. Denner,"Angell, Hasman & Associates Realty Ltd.",,,,,,,,,,,,,,
3201 1480 Howe Street,"$2,588,000",2,2,Built in 2020 (0 yrs old),"$6,826","$1,342",Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2517868,Karim Virani,Virani Real Estate Advisors,,,,,,,,,,,,,,
1901 1280 Richards Street,"$2,690,000",2,3,Built in 2008 (12 yrs old),"$7,358",$0,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2516898,Ken Cui PREC*,Nu Stream Realty Inc.,,,,,,,,,,,,,,
504 1501 Howe Street,"$1,298,000",2,2,Built in 1993 (27 yrs old),"$3,435",$700,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2517050,Marilou Appleby PREC*,Dexter Realty,,,,,,,,,,,,,,
805 1600 Hornby Street,"$4,250,000",2,3,Built in 1995 (25 yrs old),"$7,253","$1,272",Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Corner Unit,R2516070,Sean Whittall,RE/MAX Masters Realty,,,,,,,,,,,,,,
3303 1199 Marinaside Crescent,"$1,429,000",2,2,Built in 1999 (21 yrs old),"$4,231",$628,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2523424,Jackie Chan,Dexter Realty,,,,,,,,,,,,,,
5505 1480 Howe Street,"$2,998,000",2,3,Built in 2020 (0 yrs old),"$7,472","$1,430",Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"1 Storey,Upper Unit",R2518416,Andreas Nystrom,RE/MAX Crest Realty,,,,,,,,,,,,,,
1611 89 Nelson Street,"$749,999",1,1,Built in 2019 (1 yrs old),"$2,124",$261,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Upper Unit,R2515493,Omeed Ghafori,Century 21 Coastal Realty Ltd.,,,,,,,,,,,,,,
2210 1480 Howe Street,"$699,000",1,1,Built in 2020 (0 yrs old),"$1,954",$385,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,1 Storey,R2515396,Mike Ross,Rennie & Associates Realty Ltd.,,,,,,,,,,,,,,
305 1006 Beach Avenue,"$849,000",2,2,Built in 1991 (29 yrs old),"$2,352",$510,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"Corner Unit,Inside Unit",R2515381,Kirsten Jantunen,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
809 1500 Howe Street,"$999,000",2,2,Built in 1989 (31 yrs old),"$2,115",$607,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Corner Unit,R2515011,Shawn Brown PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
1002 1000 Beach Avenue,"$1,228,000",2,2,Built in 1991 (29 yrs old),"$3,262",$632,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"1 Storey,Upper Unit",R2514642,Amy Leong PREC*,Engel & Volkers Vancouver,,,,,,,,,,,,,,
2418 89 Nelson Street,"$2,988,000",3,3,Built in 2019 (1 yrs old),"$7,174",$721,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Corner Unit,R2514394,Haneef Virani PREC*,Virani Real Estate Advisors,,,,,,,,,,,,,,
1601 289 Drake Street,"$1,198,000",2,2,Built in 1993 (27 yrs old),"$3,384",$539,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"Corner Unit,End Unit,Upper Unit",R2514175,Danny Chow PREC*,Rennie & Associates Realty Ltd.,,,,,,,,,,,,,,
407 928 Homer Street,"$599,900",1,1,Built in 2006 (14 yrs old),"$1,498",$232,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Inside Unit,R2513253,Robin Bardon PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
201 1000 Beach Avenue,"$889,900",1,2,Built in 1992 (28 yrs old),"$2,276",$580,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,1 Storey,R2513129,T.J. Almodovar PREC*,Macdonald Realty,,,,,,,,,,,,,,
1304 909 Mainland Street,"$729,000",1,1,Built in 2007 (13 yrs old),"$1,782",$357,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2517012,Chris Tioseco,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
717 1088 Richards Street,"$719,900",2,1,Built in 2011 (9 yrs old),"$2,226",$270,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,1 Storey,R2512160,Gina Rossi PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
1102 1495 Richards Street,"$1,688,000",2,2,Built in 2004 (16 yrs old),"$4,286",$689,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,1 Storey,R2511737,Malcolm Hasman,"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.",,,,,,,,,,,,,,
4903 1480 Howe Street,"$4,900,000",3,3,Built in 2020 (0 yrs old),"$9,811","$1,926",Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2511635,Emily Sandhack PREC*,Macdonald Realty,,,,,,,,,,,,,,
309 988 Richards Street,"$725,000",1,1,Built in 2006 (14 yrs old),"$1,951",$439,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Inside Unit,R2510985,Robin Bardon PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
3110 1480 Howe Street,"$718,000",0,1,Built in 2020 (0 yrs old),"$1,615",$0,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Upper Unit,R2508717,Ken Cui PREC*,Nu Stream Realty Inc.,,,,,,,,,,,,,,
5601 1480 Howe Street,"$6,988,900",3,4,Built in 2020 (0 yrs old),"$26,868","$2,753",Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2508964,Karim Virani,Virani Real Estate Advisors,,,,,,,,,,,,,,
5601 1480 Howe Street,"$6,988,900",3,4,Built in 2020 (0 yrs old),"$26,868","$2,753",Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2508964,Karim Virani,Virani Real Estate Advisors,,,,,,,,,,,,,,
5203 1480 Howe Street,"$5,388,900",3,3,Built in 2020 (0 yrs old),$0,"$2,169",Vancouver West,Yaletown,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2507792,Karim Virani,Virani Real Estate Advisors,,,,,,,,,,,,,,
507 1495 Richards Street,"$749,000",1,1,Built in 2004 (16 yrs old),"$1,869",$338,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,Inside Unit,R2507054,Shawn Brown PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
333 3364 Marquette Crescent,"$499,000",2,2,Built in 1983 (37 yrs old),"$1,205",$359,Vancouver East,Champlain Heights,Apt/Condo,Leasehold prepaid-Strata,"Corner Unit,Upper Unit",R2505911,Simon Lu,Keller Williams Realty VanCentral,,,,,,,,,,,,,,
3410 Amberly Place,"$685,000",2,3,Built in 1992 (28 yrs old),"$1,673",$365,Vancouver East,Champlain Heights,Townhouse,Leasehold prepaid-Strata,"3 Storey,End Unit",R2523895,Tony Cikes PREC*,Sotheby's International Realty Canada,,,,,,,,,,,,,,
3378 Marquette Crescent,"$599,888",3,3,Built in 1982 (38 yrs old),"$1,548",$484,Vancouver East,Champlain Heights,Townhouse,Leasehold prepaid-Strata,Corner Unit,R2523015,Carollyne Sinclaire,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
4 3582 SE Marine Drive,"$695,000",3,2,Built in 1994 (26 yrs old),"$1,606",$467,Vancouver East,Champlain Heights,Townhouse,Leasehold prepaid-Strata,3 Storey,R2521347,James Hampton PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
202 7089 Mont Royal Square,"$599,000",2,2,Built in 2004 (16 yrs old),"$1,729",$313,Vancouver East,Champlain Heights,Apt/Condo,Freehold Strata,1 Storey,R2517767,Sidney Hui,Georgia Pacific Realty Corp.,,,,,,,,,,,,,,
3206 E 54th Avenue,"$987,000",3,3,Built in 2004 (16 yrs old),"$2,493",$389,Vancouver East,Champlain Heights,Townhouse,Freehold Strata,2 Storey,R2508695,Jon Samuel,Oakwyn Realty Ltd.,,,,,,,,,,,,,,
3406 Copeland Avenue,"$528,800",2,2,Built in 1980 (40 yrs old),"$1,469",$329,Vancouver East,Champlain Heights,Townhouse,Leasehold prepaid-Strata,"2 Storey,Ground Level Unit",R2492932,Parm Bhangoo,Coldwell Banker Prestige Realty,,,,,,,,,,,,,,
3290 E 54th Avenue,"$685,000",2,2,Built in 2006 (14 yrs old),"$1,726",$249,Vancouver East,Champlain Heights,Townhouse,Freehold Strata,"Carriage/Coach House,Ground Level Unit",R2478570,Sidney Hui,Georgia Pacific Realty Corp.,,,,,,,,,,,,,,
4448 Nanaimo Street,"$1,559,000",5,3,33 ft x 113 ft (3808 ft²),Built in 1985 (35 yrs old),"$5,129",Vancouver East,Collingwood,House,Freehold NonStrata,"2 Storey,Basement Entry",113,33.70 feet,R2522111,,,,,,,,,,,,,,
110 3520 Crowley Drive,"$523,500",1,1,Built in 2001 (19 yrs old),"$1,358",$365,Vancouver East,Collingwood,Apt/Condo,Freehold Strata,"1 Storey,Ground Level Unit",R2524499,Michael Parminter,Royal LePage Sussex,,,,,,,,,,,,,,
1701 5665 Boundary Road,"$449,000",1,1,Built in 2016 (4 yrs old),"$1,285",$220,Vancouver East,Collingwood,Apt/Condo,Freehold Strata,Upper Unit,R2524060,Henry Wu PREC*,LeHomes Realty Premier,,,,,,,,,,,,,,
2552 E 29th Avenue,"$1,399,900",3,4,6093 ft²,Built in 2020 (0 yrs old),$0,$0,Vancouver East,Collingwood,House,Freehold Strata,2 Storey w/Bsmt.,Heat Recovery Ventilator,0.00 feet,,,,,,,,,,,,,,
4525 Clarendon Street,"$999,900",2,2,Built in 2020 (0 yrs old),$0,$0,Vancouver East,Collingwood,Townhouse,Freehold Strata,2 Storey,Heat Recovery Ventilator,R2523711,Sean Stevens PREC*,,,,,,,,,,,,,,
2549 E 27th Avenue,"$1,998,000",10,8,33 ft x 108 ft (3564 ft²),Built in 2018 (2 yrs old),"$5,482",Vancouver East,Collingwood,House,Freehold NonStrata,"2 Storey w/Bsmt.,Laneway House",108,33.00 feet,R2523619,,,,,,,,,,,,,,
2487 E 37th Avenue,"$920,000",2,2,Built in 2017 (3 yrs old),"$2,241",$0,Vancouver East,Collingwood,Townhouse,Freehold Strata,2 Storey,Heat Recovery Ventilator,R2523606,Tracy Hu PREC*,,,,,,,,,,,,,,
2477 St. Lawrence Street,"$3,498,000",14,10,40 ft x 175 ft (6985 ft²),Built in 2016 (4 yrs old),"$7,675",Vancouver East,Collingwood,Multifamily,Freehold NonStrata,175,40.00 feet,R2523555,Sylvie Zhao PREC*,,,,,,,,,,,,,,
